id,sdr_reference,imei,session_status,momsn,mtmsn,time_of_session,indicator,latitude,longitude,cep_radius
88,2228332,333030323334303639313032303030,0,665,0,"2018-06-29 20:24:47.000000",0,55.0,37.0,3
89,2228334,333030323334303639313032303030,0,666,0,"2018-06-29 20:24:59.000000",0,55.0,37.0,3
90,2228416,333030323334303639313032303030,0,667,0,"2018-06-29 20:29:32.000000",0,55.0,37.0,4
91,2228427,333030323334303639313032303030,0,668,0,"2018-06-29 20:29:44.000000",0,55.0,37.0,4
92,2228432,333030323334303639313032303030,0,669,0,"2018-06-29 20:29:56.000000",0,55.0,37.0,4
93,2228437,333030323334303639313032303030,0,670,0,"2018-06-29 20:30:06.000000",0,55.0,37.0,4
94,2228449,333030323334303639313032303030,13,672,0,"2018-06-29 20:30:33.000000",0,55.0,37.0,4
95,2228456,333030323334303639313032303030,0,672,0,"2018-06-29 20:31:08.000000",0,55.0,37.0,4
96,2228458,333030323334303639313032303030,0,673,0,"2018-06-29 20:31:17.000000",0,55.0,37.0,4
97,2228462,333030323334303639313032303030,0,674,0,"2018-06-29 20:31:28.000000",0,55.0,37.0,4
98,2228504,333030323334303639313032303030,0,676,0,"2018-06-29 20:33:44.000000",0,55.0,37.0,3
99,2228506,333030323334303639313032303030,0,677,0,"2018-06-29 20:33:51.000000",0,55.0,37.0,3
100,2228509,333030323334303639313032303030,0,678,0,"2018-06-29 20:34:00.000000",0,55.0,37.0,3
101,2228511,333030323334303639313032303030,0,679,0,"2018-06-29 20:34:08.000000",0,55.0,37.0,3
102,2228655,333030323334303639313032303030,0,680,0,"2018-06-29 20:39:07.000000",0,55.0,37.0,4
103,2228707,333030323334303639313032303030,0,682,0,"2018-06-29 20:39:32.000000",0,55.0,37.0,4
104,2228727,333030323334303639313032303030,0,683,0,"2018-06-29 20:40:01.000000",0,55.0,37.0,4
105,2228753,333030323334303639313032303030,0,684,0,"2018-06-29 20:40:15.000000",0,55.0,37.0,4
106,2228768,333030323334303639313032303030,0,685,0,"2018-06-29 20:40:25.000000",0,55.0,37.0,4
107,2228784,333030323334303639313032303030,0,686,0,"2018-06-29 20:40:45.000000",0,55.0,37.0,4
108,2228795,333030323334303639313032303030,0,687,0,"2018-06-29 20:41:10.000000",0,55.0,37.0,4
109,2228811,333030323334303639313032303030,0,688,0,"2018-06-29 20:42:47.000000",0,55.0,37.0,3
110,2228813,333030323334303639313032303030,0,689,0,"2018-06-29 20:42:56.000000",0,55.0,37.0,3
111,2228822,333030323334303639313032303030,0,690,0,"2018-06-29 20:43:05.000000",0,55.0,37.0,3
112,2228827,333030323334303639313032303030,13,691,0,"2018-06-29 20:43:15.000000",0,55.0,37.0,3
113,2228958,333030323334303639313032303030,0,691,0,"2018-06-29 20:48:45.000000",0,55.0,37.0,4
114,2228977,333030323334303639313032303030,13,692,0,"2018-06-29 20:49:02.000000",0,55.0,37.0,4
115,2228985,333030323334303639313032303030,0,692,0,"2018-06-29 20:49:33.000000",0,55.0,37.0,4
116,2228994,333030323334303639313032303030,0,693,0,"2018-06-29 20:49:43.000000",0,55.0,37.0,4
117,2229004,333030323334303639313032303030,0,694,0,"2018-06-29 20:50:09.000000",0,55.0,37.0,4
118,2229159,333030323334303639313032303030,0,695,0,"2018-06-29 20:57:49.000000",0,55.0,37.0,5
119,2229168,333030323334303639313032303030,0,696,0,"2018-06-29 20:58:43.000000",0,55.0,37.0,4
120,2229314,333030323334303639313032303030,0,697,0,"2018-06-29 21:01:05.000000",0,55.0,37.0,3
121,2229320,333030323334303639313032303030,13,698,0,"2018-06-29 21:01:13.000000",0,55.0,37.0,4
122,2321380,333030323334303639313032303030,0,699,0,"2018-07-02 09:06:25.000000",0,56.0,40.0,8
123,2321391,333030323334303639313032303030,0,700,0,"2018-07-02 09:06:50.000000",0,56.0,40.0,10
124,2356179,333030323334303639313032303030,0,705,0,"2018-07-03 08:05:12.000000",0,56.0,40.0,3
125,2356189,333030323334303639313032303030,13,706,0,"2018-07-03 08:05:23.000000",0,56.0,40.0,4
126,2356833,333030323334303639313032303030,0,708,0,"2018-07-03 08:30:42.000000",0,56.0,40.0,2
127,2356838,333030323334303639313032303030,0,709,0,"2018-07-03 08:31:18.000000",0,56.0,40.0,2
128,2356840,333030323334303639313032303030,0,710,0,"2018-07-03 08:31:27.000000",0,56.0,40.0,2
129,2356850,333030323334303639313032303030,0,712,0,"2018-07-03 08:31:45.000000",0,56.0,40.0,3
130,2356852,333030323334303639313032303030,0,713,0,"2018-07-03 08:31:52.000000",0,56.0,40.0,3
